latitude1,longitude1,supervision_level,states,lgas,ward,settlement name,hf_name,latitude2,longitude2,meta/instanceID
7.818306,5.6331421,temporary_post,Ekiti,Ekiti East,Ilasa/Eda,Ibajore,BHC Eda,7.818306,5.6331421,uuid:2f2fbaa4-de90-4fb8-b206-4efa87658a25
7.7637893,5.7261584,temporary_post,Ekiti,Ekiti East,Kota 1,Okela/Irafun/Ujah,BHC Kota 1,7.7749743,5.7184834,uuid:a7112694-2f2b-40fa-bc10-8e37770bcbf8
6.2090262,7.6522291,temporary_post,Enugu,Nkanu East,Nara 1,Imema umuokparangene,Health Centre Nara,6.2089627,7.6521835,uuid:bdb55768-bf4c-4706-8767-d803a5fceb0d
6.261985,7.5985883,temporary_post,Enugu,Nkanu East,Obinagu ,Afor market ,"Health Centre, Obinagu ",6.2644267,7.5991383,uuid:eae306f6-2db1-49d5-b9f7-35f6f050f1cf
6.6472267,9.1576911,temporary_post,Cross River,Obudu,Urban 1,Indiabeb,Atiekpehealth post,6.6472781,9.1576146,uuid:018422d9-8555-40f8-84aa-3f4d84addfa3
7.393185,4.61517,temporary_post,Osun,Ife South,Abiri/Ogudu,Abiri,Agboro Gboro,7.39321,4.6153283,uuid:38c0a310-da3f-49e3-a87e-0c113e2e9c39
7.381665,4.6494017,temporary_post,Osun,Ife South,Abiri/Ogudu,Ogudu,Ogudu palace,7.3816217,4.6493433,uuid:f5143cce-fc24-4813-86f7-85bd8f234747
7.3533017,4.6539733,temporary_post,Osun,Ife South,Abiri/Ogudu,"Lokodo,Aladiye,Onipanu",Ilu Ooni PHC,7.3532783,4.654135,uuid:1c35ed1a-15dc-4b19-8c11-93f87ecc9645
6.98377,7.4563233,temporary_post,Enugu,Igbo-Eze-North,Essido. ,Orukpa,Ufuodo,6.9406917,7.4881383,uuid:be62ad2a-e979-4096-b533-325580f6a6fa
5.5013895,7.4992784,temporary_post,Abia,Obi Nwga,Abayi ward 2,Umuokahia 1,Umuokahia Health post,5.50173,7.4989099,uuid:7392f0bb-e7cf-402b-8f67-357ad3d477a5
6.845905,7.356961667,temporary_post,Enugu,Nsukka,Edem Ani,Agu Ohuru,Chisom maternity,6.845781667,7.356671667,uuid:7d114728-a653-45cb-b0f4-e862333d0a2c
7.6584516,4.2156804,temporary_post,Osun,Ola Oluwa,Ogbaagbaa 1(03),Oke Fia Orieru,PHC Tooto/Igege,7.6584467,4.2154223,uuid:3292d507-4465-44a1-914b-60a333a3d7f8
7.6809137,4.2515147,temporary_post,Osun,Ola Oluwa,Asamu/Ilemowu (Ward 02),Gaa Ilemowu,Model health centre Ilempwu,7.6809383,4.2516034,uuid:08c2125f-71d7-4236-a0f2-c7e10b649a9f
7.6973505,4.2495333,temporary_post,Osun,Ola Oluwa,Ogbaagbaa 1( ward 03),Obama market Ogbaagbaa ,PHC Ogbaagbaa ,7.697402,4.2494731,uuid:41ed035d-203e-4fc2-81c6-2b62f0fdec14
7.0845006,6.4985558,temporary_post,Edo,Etsako Central,Ivinone,Ivinone,Temporary Post,7.084443,6.4982403,uuid:34363ea2-23c4-4784-b508-fc0a4b4c959a
7.0921365,6.4989177,temporary_post,Edo,Etsako Central,Ivhiarua Ward,Ivhiadoko,Temporary Post,7.0842097,6.4983803,uuid:b9001289-0b27-4ba4-bf17-3b735c55df72
7.0896638,6.4968209,temporary_post,Edo,Etsako Central,Adachi,Ivhiegwe,Temporary Post,7.0847023,6.4983617,uuid:c9aa7fa7-2a22-4193-a95c-8470f998f839
7.127214,6.4329098,temporary_post,Edo,Etsako Central,Iraokhor,Iviagbogidi,Iraokhor PHC,7.0842737,6.4985239,uuid:4f8150af-483c-4350-a11f-3622cc78e99f
7.1177812,6.4418433,temporary_post,Edo,Etsako Central,Ogbona,Ochie 1,Nil,7.08414,6.4985033,uuid:ee58c59b-0f20-4a73-b407-28c21ba622c1
7.124089,6.4362283,temporary_post,Edo,Etsako Central,Iraokhor Ward,Iviagbogidi,PHC Iraokhor,7.0845103,6.4982193,uuid:69e1cde0-3642-4dba-b265-72c10798835f
7.1288184,6.4338684,temporary_post,Edo,Etsako Central,Iraokhor,Iviegelo,PHC Iraokhor,7.0844158,6.4980608,uuid:cec63512-c127-4e52-ae3c-b0b25e6329e0
7.1201974,6.4468084,temporary_post,Edo,Etsako Central,Ogbona,Ivhiedo,PHC Ogbona,7.0844215,6.498479,uuid:e1283195-9767-4964-b4c8-50a2152c88bd
7.1189553,6.4507503,temporary_post,Edo,Etsako Central,Ogbona,Okotor,PHC Ogbona,7.0844418,6.4982968,uuid:244acfc0-bfc7-41c3-8da9-7a85f0def445
7.1165804,6.438732,temporary_post,Edo,Etsako Central,Ogbona,Iviorewor,PHC Ogbona,7.0845251,6.4983593,uuid:708d1e60-e547-4168-b702-a908fef07648
7.1158008,6.4323391,temporary_post,Edo,Etsako Central,Iraokhor Ward,Ivialokoko,PHC Iraokhor,7.0844338,6.4983363,uuid:9e71f13a-5b4b-4574-bde1-ab758abacdd3
7.0928247,6.497741,temporary_post,Edo,Etsako Central,Ivinone Ward,Ivioromia,CHC Ivinone,7.084699,6.4982933,uuid:af7dc83c-f0d1-4782-a02f-d205a58b8ed0
7.1189352,6.4351552,temporary_post,Edo,Etsako Central,Iraokhor,Ivialokoko,PHC Iraokhor,7.0843706,6.4982485,uuid:8bf6b3a9-af12-431b-a7c9-7f3a24921fc7
7.1306943,6.432597,temporary_post,Edo,Etsako Central,Iraokhor,Usokhui,PHC Iraokhor,7.084474,6.4982037,uuid:6fbad2d3-e1c1-45da-9f83-fa318c99ed65
7.1174733,6.4533199,temporary_post,Edo,Etsako Central,Ogbona,Okotor,PHC Ogbona,7.0845067,6.4983701,uuid:5cf8b616-cbff-42dd-b55d-9e46b7e7ffa8
7.0982837,6.4945595,temporary_post,Edo,Etsako Central,Iviarua,Ivhuikhasa,PHC Iviarua,7.0844403,6.4983421,uuid:246406c7-cc6c-4262-89a6-3422df5920e5
7.0984695,6.4945746,temporary_post,Edo,Etsako Central,Iviarua,Opunomegbe,PHC Iviarua,7.0844438,6.4982462,uuid:084443fb-86c0-421a-884a-4c29a24b1208
7.1291265,6.4337969,temporary_post,Edo,Etsako Central,Iraokhor,Usokwi,PHC Iraokhor,7.0845025,6.4983471,uuid:464fa9fc-941f-4e57-a622-94f667bc1524
7.1256301,6.4376541,temporary_post,Edo,Etsako Central,Iraokhor,New Uralo,PHC Iraokhor,7.0845507,6.498344,uuid:28925371-c746-49c2-9462-7c0481be71d6
7.1177092,6.4555608,temporary_post,Edo,Etsako Central,Ogbona,Ivbhioba,PHC Ogbona,7.0845426,6.4982562,uuid:d861ee08-8c03-463d-961f-b05373268ef7
7.1182454,6.4501894,temporary_post,Edo,Etsako Central,Ogbona,Ivhiorevhor,PHC Ogbona,7.0844867,6.4982807,uuid:98898d08-33d9-4cfe-8b05-a03fdcd4f997
7.0982373,6.4945741,temporary_post,Edo,Etsako Central,Iviarua,Ivhiukasa II,PHC Iviarua,7.0844944,6.4984288,uuid:60e4786d-cc72-4eef-9443-dee332ca9901
4.950305,7.4105667,temporary_post,Abia,Ukwa East,Ikwuorie,Ogbunga,Ohanku phc,4.95034,7.4103317,uuid:d7c6e7e5-39a3-4634-b20c-6e543986de23
7.0910591,6.487338,temporary_post,Edo,Etsako Central,Adachi,Iviochia,PHC Adachi,7.0845885,6.4982408,uuid:577807c6-b92e-4671-bbfd-60da9cb9e391
4.9881083,7.43009,temporary_post,Abia,Ukwa East,Ikwuorieator west,Umuogor,Umuogor,4.988225,7.4297667,uuid:b913f846-0b0b-4b23-8245-5108c2dfe9b0
7.678445,6.41794,temporary_post,Kogi,Adavi,nagazi,osara,mphc osara,7.67831,6.418203333,uuid:43539ef1-f062-432b-8e49-4971ab3f5421
7.827553333,4.210481667,temporary_post,Osun,Ola Oluwa,Asa,Olowa,PHC Ajagun,7.86939,4.170413333,uuid:a0ee787e-c931-4ccc-bdd0-139f1aa9c143
7.4985613,4.8235965,temporary_post,Osun,Atakunmosa East,Iperindo 4,Iperindo market,None,7.4984194,4.8236192,uuid:3036330b-d15e-4ddf-b136-2b2bd990e628
5.2454483,8.3536367,temporary_post,Cross River,Akamkpa,Awi,Abuja Road,PHC Awi,5.2420733,8.36126,uuid:dfd6710f-2a50-4b3e-9f29-c599defa0d1a
5.2657017,8.3631498,temporary_post,Cross River,Akamkpa,Awi,Iranim,Health Centre Ayaebam,5.2656228,8.3636513,uuid:3064aa3a-4e42-4219-b324-2180dec0401e
6.50628,5.5638609,temporary_post,Edo,Ovia North-East,Okada East ,Ugbokun and Ajegunle ,Iguiye and Ugbokun phc ,6.4925293,5.5769889,uuid:69d5bcde-cc0e-4dc1-b515-8b544ad58022
5.2444259,6.3824596,temporary_post,Bayelsa,Sagbama,Agbere ward 1 ,"Animal camp 1,2,3",PHC Agbere ,5.244248,6.3826367,uuid:b58d3d8c-7b7c-494f-bdf5-1abfcf0469e5
6.8724526,8.7458114,temporary_post,Cross River,Yala,Gabu,Utuokpa,Gabu phc,6.8724526,8.7458114,uuid:42c605bb-3343-468d-865a-7e9c04392da9
5.0520981,6.9224831,temporary_post,Rivers,Ikwerre,11,Omuosi-Ozuaha,Primary Health Care,4.9852097,6.8791302,uuid:60f9311e-4b80-4fbe-b0c0-b89c14bbf4c2
6.3252831,7.2280847,temporary_post,Enugu,Ezeagu,Aguobu umuba/umuba ndeagu,Umuojo,Aguobu mmuba H/ center,6.3251498,7.2280416,uuid:55a5ffd4-d3e7-43ab-8c03-94a9f7b76156
6.3264278,7.1937802,temporary_post,Enugu,Ezeagu,Agoubu umumba/Ndiagu,Union prim sch Isiagu ,Isiagu  umumba Ndiagu ,6.3264143,7.1937775,uuid:ffce01db-2f0d-4189-987a-ed6d44215f01
6.3409926,7.3208367,temporary_post,Enugu,Ezeagu,Umana  ward ,Isiugu ,Umana ndiuno,6.3410303,7.3208083,uuid:f8155642-6428-4deb-a8a7-f6b5faa22811
6.4239783,7.2655,temporary_post,Enugu,Ezeagu,AWHA WARD,ENUGU AGBAGBO,CPS  AGBAGBO,6.4239583,7.26555,uuid:ca34e048-6f5d-4436-a0f2-dd15976f8d6e
7.950650775,4.988625208,temporary_post,Osun,Ifedayo,6,Aworo,Temporary,7.950635562,4.988531414,uuid:7621e952-b920-417f-ae8a-6b2d8fee0c75
7.9102125,4.6710425,temporary_post,Osun,Ifelodun,Oke iroko,Olobedu,PHC Oke iroko,7.9101272,4.6710923,uuid:075c7d9e-5a9c-4a8c-b6d9-6191e71dd95d
7.9089698,4.667861,temporary_post,Osun,Osogbo,Oke iroko,Solo ibikunle,PHC Oke iroko,7.9089649,4.6677787,uuid:ff43738e-e798-49bf-b7d2-883a53d8715b
6.7302019,7.3822854,temporary_post,Enugu,Igbo-Etiti,Ozalla 2,Umuafia,Ozalla health center,6.6713354,7.3737996,uuid:1fa1519a-ef74-4fb0-9946-cd013edeb513
6.6713429,7.3739532,temporary_post,Enugu,Igbo-Etiti,Ozalla 1,Umudia,Ijoh health center,6.6714293,7.3738632,uuid:4b2c3bfe-2533-4e60-995d-f380ec6e13a7
7.5964288,6.2251289,temporary_post,Kogi,Adavi,Nazari,Ozokutu,MPHC Adavi,7.6099832,6.2199723,uuid:038f4ef2-08e7-4648-9680-abf387ef7d33
7.5993769,6.2252848,temporary_post,Kogi,Adavi,Nagazi,Oziokutu,MPHC Oziokutu,7.5992823,6.225332,uuid:54bcab50-b0eb-47f1-a213-04aab7666945
5.1178956,7.3668751,temporary_post,Abia,Aba North,Industrial,Hiace pack,Academic planet School,5.1179821,7.366881,uuid:4d1ed590-cacb-4bc6-bb78-81eb3cdbb83e
